supplier_name,region,country,function,cost,rating,average_delivery_time,number_of_escalations,year,resources
AEGON N.V.,Europe,Netherlands,Technical writer,180,80,269,123,2013,2400
Aerco Ltd.,Europe,United Kingdom,IT & Infrastructure,295,83,280,112,1991,4300
AES Drax Holdings Ltd.,Europe,United Kingdom,IT & Infrastructure,315,83,300,54,2000,8500
AES Drax Power Finance Holdings Ltd.,Europe,United Kingdom,System administrator,310,64,263,169,2002,3200
Aeterna Laboratories Inc.,Europe,Canada,Software engineering manager,780,76,209,64,2007,8600
Agnico-Eagle Mines Ltd.,Europe,Canada,software developer,790,76,296,94,1999,6700
Agrium Inc.,Europe,Canada,Application analyst,150,78,238,132,1994,8300
AimGlobal Technologies Co. Inc.,Europe,Canada,Applications Development & Maintenance,385,74,299,103,2021,2100
Ainsworth Lumber Co. Ltd.,Europe,Canada,software developer,455,83,282,155,2016,1900
Air Canada,Europe,Canada,Data analyst,415,61,242,151,1998,2500
Akzo Nobel N.V.,Europe,Netherlands,Market research,80,83,281,126,1996,8300
Aladdin Knowledge Systems Ltd.,Europe,Israel,Network engineer,270,65,290,137,2017,8200
Alberta Energy Co. Ltd.,Europe,Canada,Business intelligence analyst,535,64,277,74,2004,1600
Alcan Inc.,Europe,Canada,Product manager,150,64,272,88,2021,1000
Alcatel,Europe,France,Software architect,770,63,214,68,1990,2900
"Alestra, S de R.L. de C.V.",Europe,Mexico,Systems analyst,540,88,261,148,1993,6500
Alfa Laval Special Finance AB,Europe,Sweden,Full stack developer,490,73,291,119,2019,6800
Algoma Steel Inc.,Europe,Canada,Network engineer,685,71,200,89,2015,1500
Alliance Atlantis Communications Corp.,Europe,Canada,Full stack developer,775,62,290,168,1997,8300
Allianz Aktiengesellschaft,Europe,Germany,Software quality assurance,550,62,253,118,1998,5900
Allied Irish Banks plc,Europe,Ireland,Systems analyst,310,69,272,185,2018,8800
Allura International Inc.,Europe,Canada,UX designer,425,65,284,111,1990,3300
Almaden Resource Corp.,Europe,Canada,Program analyst,360,77,204,119,2002,8000
Alstom,Europe,France,Software engineering manager,675,83,218,129,2011,1900
"Altair International, Inc.",Europe,Canada,System administrator,485,84,208,69,2000,6600
Altarex Corp.,Europe,Canada,Software architect,685,93,255,116,2014,1700
Alto Palermo S.A.,Europe,Argentina,Finance and accounting,360,93,290,191,2018,5800
Aluminum Corp of China Ltd.,Europe,China,.Net developer,310,82,298,188,2007,6400
Alvarion Ltd.,Europe,Israel,Software architect,330,71,216,93,2007,3100
Amarin Corp plc,Europe,United Kingdom,Applications Development & Maintenance,145,60,255,173,1999,3600
Amatek Industries Pty Ltd.,Europe,Australia,IT & Infrastructure,440,72,296,71,2004,5500
Amcor Ltd.,Europe,Australia,IT coordinator,685,70,202,149,2018,4800
Amdocs Ltd.,Europe,United Kingdom,Computer programmer,190,70,231,124,2011,6700
America Mineral Fields Inc.,Europe,Canada,.Net developer,225,68,244,195,1995,5000
"America Movil, S.A. de C.V.",Europe,Mexico,Finance and accounting,290,87,259,143,2017,3700
American Israeli Paper Mills Ltd.,Europe,Israel,UX designer,380,62,251,120,2018,7800
Amersham plc,Europe,United Kingdom,Software engineering manager,70,80,224,60,2007,5600
Amvescap plc,Europe,United Kingdom,Technical writer,600,66,279,172,2008,8600
Amway Japan Ltd.,Europe,Japan,Java developer,325,89,254,60,1994,4700
Anangel-American Shipholdings Ltd.,Europe,Cayman Islands,Accounting and finance,275,60,223,166,2015,1000
"Anchor Lamina, Inc.",Europe,Canada,.Net developer,595,77,208,62,2004,5400
"Angiotech Pharmaceuticals, Inc.",Europe,Canada,Program analyst,725,80,284,69,2015,6100
Anglo Swiss Resources Inc.,Europe,Canada,Data analyst,225,88,269,117,2013,1500
Anglogold Ltd.,Europe,South Africa,Product manager,515,86,273,146,2000,3000
Anooraq Resources Corp.,Europe,Canada,Computer network architect,415,77,216,57,2000,8100
Antenna TV S.A.,Europe,Greece,Product manager,365,68,247,180,2018,7800
Anthony Clark International Insurance Brokers Inc.,Europe,Canada,Software engineering manager,695,94,296,192,2005,2100
API Electronics Group Inc.,Europe,Canada,Application developer,100,89,252,172,2010,3000
Apiva.com Web Corp.,Europe,Canada,Data scientist,145,85,289,168,2007,8400
APT Satellite Holdings Ltd.,Europe,Bermuda,IT coordinator,420,91,295,134,1999,8700
Aracruz Celulose S.A.,Europe,Brazil,Full stack developer,405,78,249,178,2001,3900
Aramex International Ltd.,Europe,Bermuda,System administrator,330,77,224,195,2014,2000
ARC Energy Trust,Europe,Canada,Market research,560,63,251,149,2010,6100
Arcadis N.V.,Europe,Netherlands,Web developer,645,71,254,171,2009,6000
Arch Capital Group Ltd.,Europe,Bermuda,Product manager,125,73,238,63,1998,2300
Archangel Diamond Co.,Europe,Canada,UX designer,745,77,207,126,2008,1800
Arel Communications & Software Ltd.,Europe,Israel,Systems analyst,665,84,282,126,1998,6400
Argosy Minerals Inc.,Europe,Canada,Market research,485,65,207,189,2000,4600
Ariel Resources Ltd.,Europe,Canada,Java developer,545,62,232,66,2009,2700
Arm Holdings plc,Europe,United Kingdom,Computer network architect,100,94,276,168,1998,3000
Art Advanced Research Technologies Inc.,Europe,Canada,System engineer,310,71,279,136,2019,2700
Aryt Industries Ltd.,Europe,Israel,Application developer,605,94,279,165,2017,3700
ASAT Holdings Ltd.,Europe,Cayman Islands,Systems analyst,280,60,290,78,2004,7200
ASE Test Ltd.,Europe,Singapore,IT coordinator,140,83,273,71,2021,6100
Ashanti Goldfields Co. Ltd.,Europe,Ghana,Data scientist,380,80,224,165,1999,2600
Asia Pacific Resources International Ltd.,Europe,Bermuda,Mobile developer,85,83,239,190,1994,5400
"Asia Pacific Resources, Ltd.",Europe,Canada,IT analyst,105,89,205,173,2015,8500
Asia Pacific Wire & Cable Corp. Ltd.,Europe,Bermuda,Data scientist,235,75,242,147,2017,3600
Asia Pulp & Paper Co. Ltd.,Europe,Singapore,Applications Development & Maintenance,290,61,250,51,1996,8400
Asia Satellite Telecommunications Holdings Ltd.,Europe,Bermuda,Systems analyst,265,85,208,89,2005,3700
Asiacontent.com Ltd.,Europe,British Virgin Islands,Application developer,745,93,207,75,1995,4900
ASM International N.V.,Europe,Netherlands,Technical writer,95,91,280,59,2000,6400
ASML Holding N.V.,Europe,Netherlands,Business intelligence analyst,145,72,287,115,2008,5600
Aspen Group Resources Corp.,Europe,Canada,System engineer,105,65,264,170,2008,1600
AstraZeneca plc,Europe,United Kingdom,Data scientist,410,88,274,83,2005,7400
Astris Energi Inc.,Europe,Canada,Application developer,270,62,300,130,1992,3300
AT Plastics Inc.,Europe,Canada,System administrator,145,86,234,162,1992,7300
AT&T Canada Inc.,Europe,Canada,Network engineer,645,89,243,72,2002,7200
ATI Technologies Inc.,Europe,Canada,Application developer,460,92,219,131,2007,7500
Atlantic Caspian Resources plc,Europe,United Kingdom,System administrator,575,61,236,102,2008,7900
Atlantic Telecom Group plc,Europe,United Kingdom,UX designer,700,69,206,116,1994,8700
Atlas Pacific Ltd.,Europe,Australia,Business intelligence analyst,560,93,286,160,1992,3200
ATNA Resources Ltd.,Europe,Canada,Full stack developer,260,81,294,173,2013,4600
Attunity Ltd.,Europe,Israel,Network engineer,680,92,248,73,2007,8500
Audiocodes Ltd.,Europe,Israel,UX designer,645,62,238,78,2004,7600
Aurizon Mines Ltd.,Europe,Canada,Computer programmer,225,71,277,182,2007,3300
Aurora Metals BVI Ltd.,Europe,Canada,Application analyst,485,70,281,83,2002,6300
Australia & New Zealand Banking Group Ltd.,Europe,Australia,Computer network architect,285,84,218,188,2019,8900
Autonomy Corp plc,Europe,United Kingdom,Finance and accounting,435,86,258,80,2021,4100
Avecia Group plc,Europe,United Kingdom,IT & Infrastructure,345,90,221,119,2015,7600
Aventis,Europe,France,Data scientist,135,64,218,176,1995,3600
AXA,Europe,France,Data scientist,490,94,242,57,2014,7600
Axcan Pharma Inc.,Europe,Canada,IT analyst,675,65,219,65,1998,1900
Ayotte Music Inc.,Europe,Canada,Software architect,755,91,264,104,1990,7800
"Azteca Holdings, S.A. de C.V.",Europe,Mexico,IT & Infrastructure,245,93,286,169,1991,5200
Aztek Technologies Inc.,Europe,Canada,Accounting and finance,405,81,273,181,2011,1800
B & H Ocean Carriers Ltd.,Europe,Liberia,Technical writer,750,61,253,86,1994,7400
Bakbone Software Inc.,Europe,Canada,Program analyst,155,90,263,61,1998,1900
Balaton Power Inc.,Europe,Canada,Application developer,200,76,220,135,2004,2400
Ballard Power Systems Inc.,Europe,Canada,Program analyst,365,88,258,178,1994,4700
Baltimore Technologies plc,Europe,United Kingdom,Accounting and finance,490,64,293,84,2009,4600
Banco Bilboa Vizcaya Argentaria S.A.,Europe,Spain,Java developer,535,79,295,171,2021,1600
Banco Bradesco S.A.,Europe,Brazil,System administrator,240,82,287,96,1991,1600
Banco Comercial Portugues S.A.,Europe,Portugal,Computer network architect,375,80,220,52,1999,3400
Banco de A. Edwards,Europe,Chile,Applications Development & Maintenance,765,89,235,167,1993,7700
Banco de Chile,Europe,Chile,Product manager,540,66,280,93,1991,5300
Banco Espirito Santo e Comercial de Lisboa S.A.,Europe,Portugal,Market research,395,69,238,142,2009,5300
Banco Rio de la Plata S.A.,Europe,Argentina,Web developer,430,75,252,141,1997,6600
Banco Santander - Chile,Europe,Chile,Data analyst,760,61,237,58,2004,8900
Banco Santander Central Hispano S.A.,Europe,Spain,IT analyst,645,63,231,93,2005,7800
Banco Santiago,Europe,Chile,Web developer,740,75,240,178,2015,5300
Banco Totta & Acores S.A.,Europe,Portugal,Finance and accounting,485,73,274,145,2014,4600
BanColombia S.A.,Europe,Colombia,Computer network architect,600,65,249,162,2002,5400
Bank of Montreal,Europe,Canada,IT & Infrastructure,80,64,241,77,2000,3400
Barak I.T.C. (1995) - International Telecommunications Services Corp.,Europe,Israel,Application analyst,550,80,252,51,2021,5700
Barbeques Galore Ltd.,Europe,Australia,Web developer,680,81,262,177,1993,6000
Barclays Bank plc,Europe,United Kingdom,Technical writer,365,61,235,102,2010,6700
Barclays plc,Europe,United Kingdom,Business intelligence analyst,400,88,207,131,1996,2700
Barrick Gold Corp.,Europe,Canada,Systems analyst,225,81,230,158,2000,6500
BASF Aktiengesellschaft,Europe,Germany,Software engineering manager,105,64,295,110,2012,6200
Battery Technologies Inc.,Europe,Canada,Network engineer,430,74,275,197,2020,1700
Baytex Energy Ltd.,Europe,Canada,Computer programmer,255,76,280,144,2016,1800
BBVA Banco BHIF,Europe,Chile,Finance and accounting,555,85,225,80,1991,5800
BBVA Banco Frances S.A.,Europe,Argentina,Software architect,170,94,252,139,2016,3200
BCE Inc.,Europe,Canada,Software architect,215,77,278,154,2008,3500
BCI Telecom Holding Inc.,Europe,Canada,Computer network architect,425,94,211,84,1993,8500
BE Semiconductor Industries N.V.,Europe,Netherlands,Business intelligence analyst,330,73,288,172,2015,7700
Beijing Yanhua Petrochemical Co. Ltd.,Europe,China,Application analyst,455,93,257,125,2015,8900
Bell Canada,Europe,Canada,Business intelligence analyst,335,79,219,105,2000,6700
"Belmont Resources, Inc.",Europe,Canada,Software architect,220,60,220,99,2010,3300
Belzberg Technologies Inc.,Europe,Canada,Software quality assurance,170,61,258,76,2007,7900
Bema Gold Corp.,Europe,Canada,Software engineering manager,240,75,251,198,2016,7400
Benetton Group S.p.A.,Europe,Italy,Mobile developer,410,70,254,110,2010,8900
Benguet,Europe,Philippines,Business intelligence analyst,610,77,287,128,2020,8800
Bennett Environmental Inc.,Europe,Canada,Computer network architect,135,91,210,142,1990,8700
Berkley Resources Inc.,Europe,Canada,Java developer,235,71,276,63,2001,2300
Bestel S.A. de C.V.,Europe,Mexico,Application developer,70,88,217,63,1994,4600
BG Group plc,Europe,United Kingdom,Business intelligence analyst,95,79,266,75,1999,1100
BHP Billiton Ltd.,Europe,Australia,Application analyst,390,61,290,157,2002,5600
Biacore International AB,Europe,Sweden,IT coordinator,145,61,203,94,1995,2000
Big Rock Brewery Ltd.,Europe,Canada,Computer network architect,340,72,201,97,2002,5000
Bioforest Pacific Inc.,Europe,Canada,Accounting and finance,785,72,241,123,2007,1300
Biomira Inc.,Europe,Canada,Accounting and finance,570,86,250,131,2004,7100
Biora AB,Europe,Sweden,Application developer,180,85,237,64,2008,4100
Biovail Corporation,Europe,Canada,Computer programmer,780,70,229,119,2020,6500
Birch Mountain Resources Ltd.,Europe,Canada,Java developer,730,90,209,80,2013,3400
Blue Square - Israel Ltd.,Europe,Israel,UX designer,355,71,229,151,2021,8200
Boardwalk Equities Inc.,Europe,Canada,Application developer,605,88,218,126,2017,1700
BOC Group plc,Europe,United Kingdom,Applications Development & Maintenance,620,74,240,169,2001,1000
Bonso Electronics International Inc.,Europe,British Virgin Islands,IT & Infrastructure,195,94,259,112,1991,2800
Bookham Technology plc,Europe,United Kingdom,IT analyst,420,67,242,77,2008,1800
BOS Better Online Solutions Ltd.,Europe,Israel,System administrator,710,76,265,186,2006,8700
Bouygues Offshore S.A.,Europe,France,Data scientist,620,65,246,187,2008,4700
BP plc,Europe,United Kingdom,Systems analyst,720,65,247,190,1991,6900
Bracknell Corp.,Europe,Canada,Finance and accounting,305,91,291,182,1997,8300
Bradner Ventures Ltd.,Europe,Canada,Systems analyst,530,66,285,178,2014,1000
Brandera.com Inc.,Europe,Canada,Application developer,575,91,296,143,1998,4900
Brascan Corp.,Europe,Canada,Data analyst,310,82,217,69,2009,1800
Brasil Telecom Participacoes S.A.,Europe,Brazil,IT & Infrastructure,570,68,285,86,1993,6500
Brasil Telecom S.A.,Europe,Brazil,IT analyst,620,61,247,186,2018,6500
Bravo Resource Partners Ltd.,Europe,Canada,Full stack developer,505,77,283,69,1998,8300
Breakwater Resources Ltd.,Europe,Canada,Business intelligence analyst,360,76,277,67,2000,5400
Brilliance China Automotive Holdings Ltd.,Europe,Bermuda,Full stack developer,210,61,203,118,1997,3400
British Airways plc,Europe,United Kingdom,System engineer,465,70,204,103,1997,1900
British Biotech plc,Europe,United Kingdom,IT analyst,510,86,241,112,2012,7300
British Energy plc,Europe,United Kingdom,Systems analyst,540,74,225,158,2006,1400
British Sky Broadcasting Group plc,Europe,United Kingdom,Data scientist,200,69,244,50,2005,8300
Brocker Technology Group Ltd.,Europe,Canada,software developer,295,68,282,128,1994,6600
Brokat Aktiengesellschaft,Europe,Germany,Data scientist,345,66,273,189,1999,1800
Brookfield Properties Corp.,Europe,Canada,Java developer,705,84,225,162,2010,7400
BT Group plc,Europe,United Kingdom,Applications Development & Maintenance,205,74,232,186,1998,3700
Buenos Aires Embotelladora S.A.-BAESA,Europe,Argentina,Data analyst,720,70,292,51,2001,3700
Buffalo Diamonds Ltd.,Europe,Canada,Software quality assurance,665,87,244,132,2020,4400
Buhrmann N.V.,Europe,Netherlands,Applications Development & Maintenance,185,64,289,172,1996,3900
Bunge Ltd.,Europe,Bermuda,Technical writer,405,76,207,174,2008,3300
Bunzl plc,Europe,United Kingdom,UX designer,340,75,238,59,1995,4300
BVR Systems Ltd.,Europe,Israel,Systems analyst,280,74,275,171,1998,2700
BVR Technologies Ltd.,Europe,Israel,Applications Development & Maintenance,585,70,259,173,1998,7700
Cable and Wireless plc,Europe,United Kingdom,Applications Development & Maintenance,180,90,239,123,1998,1500
Cable Satisfaction International Inc.,Europe,Canada,Software quality assurance,755,91,283,135,1997,1200
Cabletel Communications Corp.,Europe,Canada,System administrator,730,61,251,81,1994,4100
"Cableuropa, S.A.",Europe,United Kingdom,Market research,405,64,281,159,1995,3000
Cablevision S.A.,Europe,Argentina,Accounting and finance,565,76,252,55,2017,8700
Cadbury Schweppes plc,Europe,United Kingdom,Mobile developer,210,90,214,97,2013,1700
Cade Struktur Corp.,Europe,Canada,Software architect,530,80,244,107,2020,2100
Calais Resources Inc.,Europe,Canada,IT & Infrastructure,770,82,228,67,1993,3600
CalciTech Ltd.,Europe,Canada,Technical writer,690,70,226,68,2010,6600
Caledonia Mining Corp.,Europe,Canada,Computer network architect,755,74,289,77,2020,9000
California Exploration Ltd.,Europe,Canada,Network engineer,300,65,200,162,1992,6000
Call Net Enterprises Inc.,Europe,Canada,Technical writer,190,94,271,198,2002,8100
Callahan Nordheim-Westfalen GmbH,Europe,Germany,Software quality assurance,210,61,200,57,2015,7000
Cambior Inc.,Europe,Canada,Accounting and finance,280,76,204,100,2008,8400
Cambridge Antibody Technology Group plc,Europe,United Kingdom,software developer,490,79,267,185,2017,6800
Cameco Co.,Europe,Canada,Software architect,310,90,238,121,2008,8200
Camflo Resources Ltd.,Europe,Canada,Systems analyst,530,94,213,91,2008,4300
Campbell Resources Inc.,Europe,Canada,Data analyst,345,90,287,198,1998,2500
Camtek Ltd.,Europe,Israel,Technical writer,400,67,248,67,1999,8800
Camuzzi Gas del Sur S.A.,Europe,Argentina,Application analyst,565,77,243,175,2000,5900
Camuzzi Gas Pampeana S.A.,Europe,Argentina,Web developer,335,86,287,189,1997,8100
Canada Life Financial Corp.,Europe,Canada,Software engineering manager,500,81,202,178,1995,8400
Canada Southern Petroleum Ltd.,Europe,Canada,Product manager,430,79,256,150,1992,3300
Canadian 88 Energy Corp.,Europe,Canada,Data analyst,715,74,213,52,2007,5000
Canadian Imperial Bank of Commerce,Europe,Canada,Application developer,745,84,250,145,1996,6100
Canadian National Railway Ltd.,Europe,Canada,Software engineering manager,665,71,266,148,2016,5400
Canadian Natural Resources Ltd.,Europe,Canada,UX designer,470,70,277,111,2006,5000
Canadian Pacific Railway Ltd.,Europe,Canada,Program analyst,220,74,226,139,2021,6300
Canadian Zinc Corp.,Europe,Canada,Product manager,695,90,300,115,1998,2900
Canalaska Ventures Ltd.,Europe,Canada,Software quality assurance,345,76,234,127,2010,6000
Canarc Resources Corp.,Europe,Canada,Computer network architect,140,68,248,68,1993,1400
Canon Inc.,Europe,Japan,Application developer,740,67,206,159,1993,8200
CanWest Global Communications Co.,Europe,Canada,Data scientist,245,89,264,128,1992,9000
Canwest Media Inc.,Europe,Canada,IT analyst,220,60,254,147,2010,2400
Capital Environmental Resource Inc.,Europe,Canada,Software architect,150,66,241,164,2011,5900
Carlisle Holdings Ltd.,Europe,Belize,IT & Infrastructure,490,94,202,175,2015,7700
Carlton Communications plc,Europe,United Kingdom,Software quality assurance,590,79,253,101,2016,8200
Carmanah Technologies Corp.,Europe,Canada,Data analyst,80,92,284,94,1990,3100
Carmel Container Systems Ltd.,Europe,Israel,Accounting and finance,605,77,244,120,2020,6000
"CBX Ventures, Inc.",Europe,Canada,UX designer,715,62,258,141,1995,8800
CE Franklin Ltd.,Europe,Canada,Business intelligence analyst,240,66,281,98,1999,3500
Cedara Software Corp.,Europe,Canada,Technical writer,770,87,282,195,2001,1300
Celanese AG,Europe,Germany,Full stack developer,325,90,254,155,1999,7900
Celestica Inc.,Europe,Canada,Application analyst,690,83,300,197,1993,1600
Celltech Group plc,Europe,United Kingdom,Software engineering manager,300,87,246,52,2000,6800
Celulosa Arauco y Constitucion S.A.,Europe,Chile,Application analyst,730,84,201,126,2016,5500
"Cemex, S.A. de C.V.",Europe,Mexico,Mobile developer,390,91,251,76,2004,6400
Cenargo International plc,Europe,United Kingdom,Web developer,300,84,259,193,2010,2400
Cenes Pharmaceuticals plc,Europe,United Kingdom,.Net developer,680,74,236,175,2011,8300
Central Fund of Canada Ltd.,Europe,Canada,Systems analyst,740,69,276,61,2015,6900
Central Minera Corp.,Europe,Canada,Web developer,445,70,250,151,2006,4800
Centurion Energy International Inc.,Europe,Canada,Application analyst,90,60,247,66,2017,3800
Ceragon Networks Ltd.,Europe,Israel,Technical writer,240,85,261,189,2004,6900
Certicom Corp.,Europe,Canada,Mobile developer,685,83,273,110,1999,4600
Ceyoniq AG,Europe,Germany,Web developer,670,92,204,154,2018,4600
"Cez, A.S.",Europe,Czech Republic,System administrator,460,85,280,146,1995,7700
CFM Majestic Inc.,Europe,Canada,Software architect,520,73,259,152,1994,1300
CGI Group Inc.,Europe,Canada,Software quality assurance,730,72,260,53,2002,8500
CGU Group Canada Ltd.,Europe,Canada,Computer network architect,480,75,222,126,2003,1800
Chai-Na-Ta Corp.,Europe,Canada,Computer network architect,635,81,274,130,1993,6100
Chartered Semiconductor Manufacturing Ltd.,Europe,Singapore,System administrator,190,70,232,69,2002,8600
Chartwell Technology Inc.,Europe,Canada,Technical writer,415,74,294,93,2005,5000
CHC Helicopter Corp.,Europe,Canada,Network engineer,240,68,263,138,1996,7500
Check Point Software Technologies Ltd.,Europe,Israel,Web developer,300,77,282,103,2010,7200
China Convergent Corp. Ltd.,Europe,Bermuda,Data scientist,155,80,246,61,1995,5100
China Eastern Airlines Corp. Ltd.,Europe,China,Software architect,365,87,288,155,1999,6000
China Enterprises Ltd.,Europe,Bermuda,Application analyst,230,63,263,112,1998,7400
China Mobile (Hong Kong) Ltd.,Europe,Hong Kong,Business intelligence analyst,200,76,231,123,2020,5200
China Petroleum & Chemical Corp. (Sinopec),Europe,China,Application analyst,790,78,287,140,2012,8700
China Southern Airlines Corp. Ltd.,Europe,China,software developer,70,64,277,115,2009,2800
China Unicom Ltd.,Europe,Hong Kong,Systems analyst,90,92,271,134,2003,8100
China Yuchai International Ltd.,Europe,Bermuda,Business intelligence analyst,715,76,299,145,2006,5000
Chinadotcom Corp.,Europe,Cayman Islands,IT & Infrastructure,300,83,241,115,2004,8100
Chipmos Technologies (Bermuda) Ltd.,Europe,Bermuda,IT analyst,500,85,208,51,1991,1400
Ciba Speciality Chemicals Holding Inc.,Europe,Switzerland,Accounting and finance,430,68,241,157,2017,7200
Cimatron Ltd.,Europe,Israel,Software architect,295,89,250,195,2015,3200
Cinema Internet Networks Inc.,Europe,Canada,Software engineering manager,355,82,265,90,2009,4900
Cinram International Ltd.,Europe,Canada,Software quality assurance,410,67,234,78,1990,3100
Citadel Gold Mines Inc.,Europe,Canada,Web developer,250,67,288,123,1997,2200
City Telecom (H.K.) Ltd.,Europe,Hong Kong,IT & Infrastructure,785,61,234,141,1990,6900
CityView Corp Ltd.,Europe,Australia,Data scientist,515,65,228,160,1999,1100
Claxson Interactive Group plc,Europe,British Virgin Islands,Java developer,425,91,268,113,2007,2800
Clearly Canadian Beverage Corp.,Europe,Canada,Computer programmer,750,61,290,150,1991,1600
Clearwave N.V.,Europe,Netherlands,Software quality assurance,340,76,238,158,2018,2200
Clondalkin Industries plc,Europe,Ireland,Full stack developer,740,73,246,63,2002,5900
CLP Power Hong Kong Ltd.,Europe,Hong Kong,Application analyst,450,72,249,91,2011,6200
Clubhaus plc,Europe,United Kingdom,IT & Infrastructure,725,82,216,144,2012,3000
CNH Global N.V.,Europe,Netherlands,Business intelligence analyst,645,74,296,181,2015,3000
CNOOC Ltd.,Europe,Hong Kong,IT & Infrastructure,105,93,298,67,2010,8100
Coca-Cola Embonor S.A.,Europe,Chile,IT analyst,750,65,300,118,2017,3100
Coca-Cola Femsa S.A. de C.V.,Europe,Mexico,Technical writer,220,79,277,111,2002,8300
Cognicase Inc.,Europe,Canada,Computer network architect,460,80,258,172,2000,1100
Cognos Inc.,Europe,Canada,IT analyst,280,76,267,66,1994,1900
Coles Myer Ltd.,Europe,Australia,Software engineering manager,745,85,270,164,1998,7000
Colt Telecom Group plc,Europe,United Kingdom,Application developer,740,86,268,176,2016,4800
Commercial Consolidators Corp.,Europe,Canada,Application analyst,285,70,210,189,1992,1600
Commonwealth Bank of Australia,Europe,Australia,Software engineering manager,95,67,264,118,2007,6600
Commtouch Software Ltd.,Europe,Israel,Systems analyst,790,82,290,197,2014,4300
Compagnie Generale de Geophysique,Europe,France,Application developer,100,82,271,130,2009,3600
Companhia Brasileira de Distribuicao,Europe,Brazil,Market research,400,60,293,112,2013,5600
Companhia de Alimentos Fargo,Europe,Argentina,Product manager,450,80,228,98,2010,2200
Companhia de Bedidas das Americas - AMBEV,Europe,Brazil,IT coordinator,670,70,258,145,1999,8200
Companhia Energetica de Minas Gerais - CEMIG,Europe,Brazil,Market research,315,84,211,190,2005,2800
Companhia Parananse de Energia - Copel,Europe,Brazil,Program analyst,630,70,253,86,2017,2100
Companhia Siderurgica Nacional,Europe,Brazil,Software architect,525,78,290,173,2012,2800
Companhia Vale de Rio Doce S.A.,Europe,Brazil,Software engineering manager,115,68,252,112,2009,1000
Compania Anonima Nacional Telefonos de Venezuela S.A.,Europe,Venezuela,Accounting and finance,390,83,218,179,2007,3300
Compania Cervecerias Unidas S.A.,Europe,Chile,Business intelligence analyst,360,62,213,69,2019,1400
Compania de Minas Buenaventura S.A.,Europe,Peru,Mobile developer,390,75,264,135,1995,4000
Compania de Telecomunicaciones de Chile S.A.,Europe,Chile,Web developer,415,90,294,56,1991,6600
Compania Internacional de Telecomunicaciones S.A.,Europe,Argentina,Systems analyst,555,84,294,172,2005,4100
Compugen Ltd.,Europe,Israel,Technical writer,140,94,273,51,1992,8600
Comunicacion Celular S.A.,Europe,Colombia,Business intelligence analyst,570,90,219,71,2000,3400
Concordia Bus AB,Europe,Sweden,Technical writer,480,77,223,69,2001,6800
Coniagas Resources Ltd,Europe,Canada,Software quality assurance,120,81,271,51,1997,2800
Conoco Canada Resources Ltd.,Europe,Canada,Network engineer,725,93,267,160,2001,8000
Consolidated Envirowaste Industries Inc.,Europe,Canada,Computer programmer,165,69,230,63,1994,7800
